Account Owner;Account Name;Lead Source;Type;Industry;Account Description;Account: Phone;Account: Fax;Website;Billing Street;Billing City;Billing State/Province;Billing Zip/Postal Code;Billing Country;Custom Account Field 1;Custom Account Field 2;Custom Account Field 3;Custom Account Field 4;Contact Owner;Salutation;First Name;Last Name;Title;Department;Description;Mailing Street;Mailing City;Mailing State/Province;Mailing Zip/Postal Code;Mailing Country;Phone;Mobile;Fax;Email;Custom Contact Field 1;Custom Contact Field 2;Custom Contact Field 3;Custom Contact Field 4
Shell Black;Edge Communications;Web;Customer - Direct;Electronics;Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.;(512) 757-6000;(512) 757-9000;http://edgecomm.com;312 Constitution Place Austin, TX 78767 USA;Austin;TX;;;;;;;Shell Black;Ms.;Rose;Gonzalez;SVP, Procurement;Procurement;;313 Constitution Place Austin, TX 78767 USA;;;;;(512) 757-6000;(512) 757-9340;(512) 757-9000;rose@edge.com;;;;
Shell Black;United Oil & Gas Corp.;Purchased List;Customer - Direct;Energy;World's third largest oil and gas company.;(212) 842-5500;(212) 842-5501;http://www.uos.com;1301 Avenue of the Americas New York, NY 10019 USA;New York;NY;;;;;;;Shell Black;Mr.;Avi;Green;CFO;Finance;;1302 Avenue of the Americas New York, NY 10019 USA;;;;;(212) 842-5500;(212) 842-2383;(212) 842-5501;agreen@uog.com;;;;
Shell Black;United Oil & Gas Corp.;Purchased List;Customer - Direct;Energy;World's third largest oil and gas company.;(212) 842-5500;(212) 842-5501;http://www.uos.com;1301 Avenue of the Americas New York, NY 10019 USA;New York;NY;;;;;;;Shell Black;Ms.;Stella;Pavlova;SVP, Production;Production;;1303 Avenue of the Americas New York, NY 10019 USA;;;;;(212) 842-5500;(212) 842-5501;(212) 842-5501;spavlova@uog.com;;;;
Shell Black;United Oil & Gas Corp.;Purchased List;Customer - Direct;Energy;World's third largest oil and gas company.;(212) 842-5500;(212) 842-5501;http://www.uos.com;1301 Avenue of the Americas New York, NY 10019 USA;New York;NY;;;;;;;Shell Black;Ms.;Lauren;Boyle;SVP, Technology;Technology;;1304 Avenue of the Americas New York, NY 10019 USA;;;;;(212) 842-5500;(212) 842-5611;(212) 842-5501;lboyle@uog.com;;;;
Shell Black;Express Logistics and Transport;Phone Inquiry;Customer - Channel;Transportation;Commerical logistics and transportation company.;(503) 421-7800;(503) 421-7801;www.expressl&t.net;620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States;Portland;OR;;;;;;;Shell Black;Mr.;Josh;Davis;Director, Warehouse Mgmt;Warehouse Mgmt;;621 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States;;;;;(503) 421-7800;(503) 421-4387;(503) 421-7801;j.davis@expressl&t.net;;;;
Shell Black;University of Arizona;Phone Inquiry;Customer - Direct;Education;Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.;(520) 773-9050;(520) 773-9060;www.universityofarizona.com;888 N Euclid Hallis Center, Room 501 Tucson, AZ 85721 United States;Tucson;AZ;;;;;;;Shell Black;Ms.;Jane;Grey;Dean of Administration;Administration;;888 N Euclid Hallis Center, Room 501 Tucson, AZ 85721 United States;;;;;(520) 773-9050;(520) 773-4539;(520) 773-9060;jane_gray@uoa.edu;;;;
Shell Black;Edge Communications;Web;Customer - Direct;Electronics;Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.;(512) 757-6000;(512) 757-9000;http://edgecomm.com;312 Constitution Place Austin, TX 78767 USA;Austin;TX;;;;;;;Shell Black;Mr.;Sean;Forbes;CFO;Finance;;312 Constitution Place Austin, TX 78767 USA;;;;;(512) 757-6000;(512) 757-4561;(512) 757-9000;sean@edge.com;;;;
Shell Black;Burl•ngton Textiles Corp of America;Web;Customer - Direct;Apparel;;(336) 222-7000;(336) 222-8000;www.burlington.com;525 S. Lexington Ave;Burlington;NC;27215;USA;;;;;Shell Black;Mr.;Jack;Rogers;VP, Facilities;;;525 S. Lexington Ave;Burlington;NC;27215;USA;(336) 222-7000;;(336) 222-8000;jrogers@burlington.com;;;;
Shell Black;Pyramid Construction Inc.;;Customer - Channel;Construction;;(014) 427-4427;(014) 427-4428;www.pyramid.com;2 Place Jussieu;Paris;;75251;France;;;;;Shell Black;Ms.;Pat;Stumuller;SVP, Administration and Finance;Finance;;2 Place Jussieu;Paris;;75251;France;(014) 427-4427;(014) 454-6364;(014) 427-4428;pat@pyramid.net;;;;
Shell Black;Dickenson plc;Purchased List;Customer - Channel;Consulting;;(785) 241-6200;(785) 241-6201;dickenson-consulting.com;1301 Hoch Drive;Lawrence;KS;66045;USA;;;;;Shell Black;Mr;Andy;Young;SVP, Operations;Internal Operations;;1301 Hoch Drive;Lawrence;KS;66045;USA;(785) 241-6200;(785) 265-5350;(785) 241-6201;a_young@dickenson.com;;;;
